2026-03-29 12:18:31,040 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,058 | ERROR    | qushield.scanner | Scan failed for digisuryaghar.pnb.bank.in:443: Could not resolve digisuryaghar.pnb.bank.in
2026-03-29 12:18:31,059 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,072 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,075 | ERROR    | qushield.scanner | Scan failed for digitalbanking.pnb.bank.in:443: Could not resolve digitalbanking.pnb.bank.in
2026-03-29 12:18:31,079 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,091 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,096 | ERROR    | qushield.scanner | Scan failed for digitallending.pnb.bank.in:443: Could not resolve digitallending.pnb.bank.in
2026-03-29 12:18:31,109 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,114 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,136 | ERROR    | qushield.scanner | Scan failed for digivishwakarma.pnb.bank.in:443: Could not resolve digivishwakarma.pnb.bank.in
2026-03-29 12:18:31,140 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,149 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,158 | ERROR    | qushield.scanner | Scan failed for digivkyc.pnb.bank.in:443: Could not resolve digivkyc.pnb.bank.in
2026-03-29 12:18:31,160 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,166 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,182 | ERROR    | qushield.scanner | Scan failed for digivl.pnb.bank.in:443: Could not resolve digivl.pnb.bank.in
2026-03-29 12:18:31,186 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,192 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,196 | ERROR    | qushield.scanner | Scan failed for dpip.pnb.bank.in:443: Could not resolve dpip.pnb.bank.in
2026-03-29 12:18:31,202 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,214 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,241 | ERROR    | qushield.scanner | Scan failed for drm.pnb.bank.in:443: Could not resolve drm.pnb.bank.in
2026-03-29 12:18:31,243 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,257 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,274 | ERROR    | qushield.scanner | Scan failed for drms.pnb.bank.in:443: Could not resolve drms.pnb.bank.in
2026-03-29 12:18:31,279 | INFO     | qushield.scanner | Scan completed for aafiu.pnb.bank.in:443
2026-03-29 12:18:31,283 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,287 | INFO     | qushield.scanner | scan completed
2026-03-29 12:18:31,296 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,299 | INFO     | qushield.scanner | Starting TLS scan
2026-03-29 12:18:31,301 | ERROR    | qushield.scanner | Scan failed for dsj.pnb.bank.in:443: Could not resolve dsj.pnb.bank.in
